species.id,genus,species,subspecies,scientific.name,common.name,origin,taxa,vector,first.date,IF.score,unknown,tm.161,status,Scientific Name,IF Score,Source
2682,Rorippa,sylvestris,,Rorippa sylvestris,Keek,Eurasia,Other,Ballast,1884,2,3,a,established,Rorippa sylvestris,2,TM-161
2693,Rumex,longifolius,,Rumex longifolius,Door-yard dock,Eurasia,Plants,Direct Accidental Release,1901,2,3,a,established,Rumex longifolius,2,TM-161
2663,Rumex,obtusifolius,,Rumex obtusifolius,Bluntleaf dock,Eurasia,Plants,Unknown,1837,2,3,a,established,Rumex obtusifolius,2,TM-161
2798,Schyzocotyle,acheilognathi,,Schyzocotyle acheilognathi,Asian tapeworm,Asia,Plants,Direct Accidental Release,2001,2,0,a,established,Schyzocotyle acheilognathi,2,"Sturtevant 2018 (TM-161b), TM-161"
2714,Ulva (Enteromorpha),prolifera,,Ulva (Enteromorpha) prolifera,"Green alga, grass kelp, sea lettuce",North America,Plants,Unknown,1979,2,0,a,established,Ulva (Enteromorpha) prolifera,2,TM-161
2362,Acentria,ephemerella,,Acentria ephemerella,(European) aquatic/water moth,Europe,Crustaceans,Direct Accidental Release,1938,1,4,a,established,Acentria ephemerella,1,TM-161
2681,Alopecurus,geniculatus,,Alopecurus geniculatus,Water foxtail,Eurasia,Other,Direct Accidental Release,1882,1,3,a,established,Alopecurus geniculatus,1,TM-161
166,Argulus,japonicus,,Argulus japonicus,Japanese fishlouse,Asia,Plants,Direct Accidental Release,1976,1,5,a,established,Argulus japonicus,1,TM-161
1700,Bangia,atropurpurea,,Bangia atropurpurea,A red alga,Europe,Fish,Ballast,1944,1,3,a,established,Bangia atropurpurea,1,TM-161
1151,Branchiura,sowerbyi,,Branchiura sowerbyi,A tubificid worm,Asia,Crustaceans,Direct Accidental Release,1938,1,6,a,established,Branchiura sowerbyi,1,TM-161
508,Carassius,auratus,,Carassius auratus,Goldfish,Asia,Plants,Direct Accidental Release,1917,1,4,a,established,Carassius auratus,1,TM-161
2676,Carex,disticha,,Carex disticha,Tworank sedge,Eurasia,Plants,Ballast,1866,1,0,a,established,Carex disticha,1,TM-161
1060,Cordylophora,caspia,,Cordylophora caspia,Freshwater hydroid,Eurasia,Fish,Unknown,1956,1,6,a,established,Cordylophora caspia,1,TM-161
1032,Elimia,virginica,,Elimia virginica,Piedmont elimia,North America,Fish,Canal,1872,1,5,a,established,Elimia virginica,1,TM-161
681,Esox,niger,,Esox niger,Chain Pickerel,North America,Plants,Deliberate Release,1985,1,5,a,range expander,,,
2695,Impatiens,glandulifera,,Impatiens glandulifera,Ornamental jewelweed,Asia,Crustaceans,Deliberate Release,1912,1,2,a,established,Impatiens glandulifera,1,TM-161
2694,Lycopus,europaeus,,Lycopus europaeus,European bugleweed,Eurasia,Other,Ballast,1903,1,3,a,established,Lycopus europaeus,1,TM-161
2680,Lysimachia,nummularia,,Lysimachia nummularia,Creeping jenny,Eurasia,Other,Deliberate Release,1882,1,3,a,established,Lysimachia nummularia,1,TM-161
2668,Mentha,aquatica,,Mentha aquatica,Water mint,Eurasia,Plants,Deliberate Release,1843,1,5,a,established,Mentha aquatica,1,TM-161
2794,Mesocyclops,pehpeiensis,,Mesocyclops pehpeiensis,A copepod,Asia,Algae,Deliberate Release,2016,1,6,b,established,Mesocyclops pehpeiensis,0,Sturtevant 2018 (TM-161b)
2674,Najas,marina,,Najas marina,Holly-leaf waternymph,Other,Plants,Ballast,1864,1,3,a,range expander,,,
2595,Neoergasilus,japonicus,,Neoergasilus japonicus,A parasitic copepod,Asia,Plants,Unknown,1994,1,3,a,established,Neoergasilus japonicus,1,TM-161
2372,Nitokra,hibernica,,Nitokra hibernica,A harpacticoid copepod,Eurasia,Crustaceans,Ballast,1972,1,2,a,established,Nitokra hibernica,1,TM-161
2373,Nitokra,incerta,,Nitokra incerta,A harpacticoid copepod,Eurasia,Fish,Ballast,1999,1,2,a,established,Nitokra incerta,1,TM-161
748,Noturus,insignis,,Noturus insignis,Margined Madtom,North America,Crustaceans,Direct Accidental Release,1966,1,4,a,range expander,,,
3267,Pluchea,oderata,,Pluchea odorata ,sweetscent,North America,Plants,Direct Accidental Release,1912,1,5,a,established,Pluchea odorata,1,"Lower 2019 (TM-161c), TM-161"
714,Proterorhinus,semilunaris,,Proterorhinus semilunaris,Freshwater Tubenose Goby,Eurasia,Plants,Unknown,1990,1,0,d,established,Proterorhinus semilunaris,1,Sturtevant 2020 (TM-161d)
2687,Salix,alba,,Salix alba,Golden willow,Eurasia,Algae,Deliberate Release,1886,1,6,a,established,Salix alba,1,TM-161
2716,Salmincola,lotae,,Salmincola lotae,A parasitic copepod,Eurasia,Crustaceans,Unknown,1964,1,2,a,established,Salmincola lotae,1,TM-161
2710,Solidago,sempervirens,,Solidago sempervirens,Seaside goldenrod,North America,Crustaceans,Direct Accidental Release,1969,1,4,a,established,Solidago sempervirens,1,TM-161
2793,Thermocyclops,crassus,,Thermocyclops crassus,A copepod,Other,Plants,Unknown,2014,1,1,b,established,Thermocyclops crassus,1,Bartos 2022
261,Veronica,beccabunga,,Veronica beccabunga,European speedwell,Europe,Plants,Ballast,1849,1,VanZeghbroek 2023,VanZeghbroek 2023,established,Veronica beccabunga,0,VanZeghbroek 2023
2367,Acineta,nitocrae,,Acineta nitocrae,A suctorian ciliate,Eurasia,Other,Ballast,1997,0,0,a,established,Acineta nitocrae,0,TM-161
2683,Agrostis,gigantea,,Agrostis gigantea,Redtop,Eurasia,Plants,Direct Accidental Release,1838,0,4,a,established,Agrostis gigantea,0,"TM-161 (benefits listed as 1 with 2 unknowns, but actual scores not included in appendix)"
488,Alosa,aestivalis,,Alosa aestivalis,Blueback Herring,North America,Other,Deliberate Release,1981,0,3,a,established,Alosa aestivalis,0,TM-161
700,Apeltes,quadracus,,Apeltes quadracus,Fourspine Stickleback,North America,Other,Ballast,1986,0,4,a,established,Apeltes quadracus,0,TM-161
1674,Chaetoceros,muelleri,,Chaetoceros muelleri,A centric diatom,Unknown,Other,Ballast,1893,0,0,a,established,Chaetoceros muelleri,0,TM-161
2677,Chenopodium,glaucum,,Chenopodium glaucum,Oakleaf goosefoot,Eurasia,Algae,Ballast,1865,0,2,a,established,Chenopodium glaucum,0,TM-161
1711,Chroodactylon,ornatum,,Chroodactylon ornatum,A red alga,North America,Crustaceans,Ballast,1964,0,0,a,established,Chroodactylon ornatum,0,TM-161
1044,Cipangopaludina,chinensis,,Cipangopaludina chinensis,Chinese mysterysnail,Asia,Algae,Direct Accidental Release,1931,0,7,a,established,Cipangopaludina chinensis,0,TM-161
1046,Cipangopaludina,japonica,,Cipangopaludina japonica,Japanese mysterysnail,Asia,Mollusks,Direct Accidental Release,1937,0,8,a,established,Cipangopaludina japonica,0,TM-161
1690,Conticribra,guillardii,,Conticribra guillardii,A centric diatom,Europe,Fish,Ballast,1973,0,0,a,established,Conticribra guillardii,0,TM-161
1068,Craspedacusta,sowerbyi,,Craspedacusta sowerbyi,Freshwater jellyfish,Asia,Algae,Direct Accidental Release,1933,0,5,a,established,Craspedacusta sowerbyi,0,TM-161
1669,Cyclotella,atomus,,Cyclotella atomus,A centric diatom,Unknown,Other,Ballast,1964,0,1,a,established,Cyclotella atomus,0,TM-161
1671,Cyclotella,cryptica,,Cyclotella cryptica,A centric diatom,Unknown,Mollusks,Ballast,1880,0,0,a,established,Cyclotella cryptica,0,TM-161
2721,Dactylogyrus,amphibothrium,,Dactylogyrus amphibothrium,A monogenetic fluke,Eurasia,Crustaceans,Hitchhiker,1992,0,0,a,established,Dactylogyrus amphibothrium,0,TM-161
