species.id,genus,species,subspecies,scientific.name,common.name,origin,taxa,vector,first.date,IF.score,unknown,tm.161,status,Scientific Name,IF Score,Source
2708,Potamothrix,vejdovskyi,,Potamothrix vejdovskyi,A tubificid worm,Eurasia,Algae,Unknown,1965,0,7,a,established,Potamothrix vejdovskyi,0,TM-161
2653,Psammonobiotus,communis,,Psammonobiotus communis,A testate amoeba,Eurasia,Other,Ballast,2002,0,3,a,established,Psammonobiotus communis,0,TM-161
2654,Psammonobiotus,dziwnowi,,Psammonobiotus dziwnowi,A testate amoeba,Eurasia,Algae,Ballast,1901,0,3,a,established,Psammonobiotus dziwnowi,0,TM-161
2655,Psammonobiotus,linearis,,Psammonobiotus linearis,A testate amoeba,Eurasia,Other,Ballast,2002,0,0,a,established,Psammonobiotus linearis,0,TM-161
2689,Puccinellia,distans,,Puccinellia distans,Weeping alkaligrass,Eurasia,Mollusks,Ballast,1893,0,1,a,established,Puccinellia distans,0,TM-161
2244,Ripistes,parasita,,Ripistes parasita,An oligochaete,Eurasia,Other,Ballast,1984,0,7,a,established,Ripistes parasita,0,TM-161
2685,Salix,purpurea,,Salix purpurea,Purple osier,Eurasia,Plants,Deliberate Release,1873,0,5,a,established,Salix purpurea,0,TM-161
2374,Schizopera,borutzkyi,,Schizopera borutzkyi,An oarsman,Europe,Other,Ballast,1988,0,1,c,established,Schizopera borutzkyi,0,"Lower 2019 (TM-161c), TM-161"
2359,Schmidtea,polychroa,,Schmidtea polychroa,A flatworm,Europe,Algae,Ballast,1968,0,0,a,established,Schmidtea polychroa,0,TM-161 (as Dugesia polychroa)
2722,Scolex,pleuronectis,,Scolex pleuronectis,A cestode,Eurasia,Other,Ballast,1994,0,0,a,established,Scolex pleuronectis,0,TM-161
1689,Skeletonema,potamos,,Skeletonema potamos,A centric diatom,Unknown,Other,Ballast,1963,0,1,a,established,Skeletonema potamos,0,TM-161
2712,Skeletonema,subsalsum,,Skeletonema subsalsum,A centric diatom,Eurasia,Crustaceans,Ballast,1973,0,0,a,established,Skeletonema subsalsum,0,TM-161
169,Skistodiaptomus,pallidus,,Skistodiaptomus pallidus,A calanoid copepod,North America,Algae,Unknown,1967,0,5,a,established,Skistodiaptomus pallidus,0,TM-161
2701,Sparganium,glomeratum,,Sparganium glomeratum,Northern bur-reed,North America,Plants,Unknown,,0,6,a,range expander,,,
1686,Sphacelaria,fluviatilis,,Sphacelaria fluviatilis,A brown alga,Asia,Other,Direct Accidental Release,1975,0,0,a,established,Sphacelaria fluviatilis,0,TM-161
1676,Sphacelaria,lacustris,,Sphacelaria lacustris,A brown alga,Unknown,Other,Direct Accidental Release,1975,0,0,a,established,Sphacelaria lacustris,0,TM-161
131,Sphaerium,corneum,,Sphaerium corneum,European fingernail clam,Eurasia,Mollusks,Ballast,1900,0,6,a,established,Sphaerium corneum,0,TM-161
2724,Sphaeromyxa,sevastopoli,,Sphaeromyxa sevastopoli,A myxosporean parasite,Eurasia,Crustaceans,Ballast,1994,0,0,a,established,Sphaeromyxa sevastopoli,0,TM-161
1698,Stephanodiscus,subtilis,,Stephanodiscus subtilis,A centric diatom,Eurasia,Algae,Ballast,1946,0,1,a,established,Stephanodiscus subtilis,0,TM-161
2363,Tanysphyrus,lemnae,,Tanysphyrus lemnae,Duckweed/aquatic weevil,Europe,Mollusks,Unknown,1934,0,4,a,established,Tanysphyrus lemnae,0,TM-161
2717,Thalassiosira,baltica,,Thalassiosira baltica,A centric diatom,Eurasia,Crustaceans,Ballast,1988,0,1,a,established,Thalassiosira baltica,0,TM-161
1691,Thalassiosira,bramaputrae,,Thalassiosira bramaputrae,A centric diatom,Unknown,Other,Ballast,1978,0,0,a,established,Thalassiosira bramaputrae,0,TM-161 (as T. lacustris)
1692,Thalassiosira,pseudonana,,Thalassiosira pseudonana,A centric diatom,Unknown,Fish,Ballast,1973,0,0,a,established,Thalassiosira pseudonana,0,TM-161
1693,Thalassiosira,weissflogii,,Thalassiosira weissflogii,A centric diatom,Unknown,Crustaceans,Ballast,1962,0,0,a,established,Thalassiosira weissflogii,0,TM-161
2727,Timoniella,sp.,,Timoniella sp.,"A digenean fluke, trematode",Unknown,Other,Unknown,1992,0,0,a,established,Timoniella sp.,0,TM-161
2369,Trypanosoma,acerinae,,Trypanosoma acerinae,A flagellate parasite,Eurasia,Other,Hitchhiker,1985,0,0,a,established,Trypanosoma acerinae,0,TM-161
1043,Valvata,piscinalis,,Valvata piscinalis,European stream valvata,Europe,Fish,Hitchhiker,1897,0,5,a,established,Valvata piscinalis,0,TM-161
